,name,url,rating,review_count,price,discount,description
24,"IQOO Z10 5G (Glacier Silver / Silver, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/o/c/-original-imahgzpke6hvsgc7.jpeg?q=70,4.4,"5,471 Ratings & 267 Reviews","₹21,750",16% off,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera7300 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories
25,"Tecno Spark Go 1 (Startrail Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/6/q/-original-imah43f3nesgmgud.jpeg?q=70,4.3,"6,689 Ratings & 317 Reviews","₹7,299",18% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T61 Processor1 Year Manufacturer Warranty for Phone
26,"realme P4 Power 5G (TransSilver, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/a/c/-original-imahjzf6gw6zwskp.jpeg?q=70,4.6,"1,878 Ratings & 175 Reviews","₹25,999",21% off,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
27,"Ai+ Nova 5G (Pink, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/r/p/-original-imahdsbnk9ya4e3z.jpeg?q=70,4.2,"26,027 Ratings & 1,627 Reviews","₹8,999",18% off,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
28,"IQOO Z10X 5G (Titanium, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/b/u/-original-imahgzpkwbjdkhm3.jpeg?q=70,4.4,"5,406 Ratings & 248 Reviews","₹16,999",10% off,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories
29,"POCO C75 5G (Enchanted Green, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/v/f/-original-imahbr2cmpwexghw.jpeg?q=70,4.2,"1,55,390 Ratings & 6,765 Reviews","₹8,499",22% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
30,"Nokia 105 Classic Single Sim Keypad Phone, Without Charger",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/i/105-single-sim-keypad-mobile-phone-with-wireless-fm-radio-nokia-original-imah2xgc9z6cwcqv.jpeg?q=70,3.9,"8,647 Ratings & 342 Reviews",₹994,20% off,32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP Front Camera800 mAh BatterySC6531E Processor1 Month Company Domestic Warranty by Company Authorized Service Center.
31,"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/f/t/-original-imahfsgv98qsukvz.jpeg?q=70,4.4,"10,179 Ratings & 404 Reviews","₹11,999",7% off,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
32,"POCO C71 (Cool Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/5/z/-original-imahawgarmg5f8ff.jpeg?q=70,4.1,"34,226 Ratings & 1,593 Reviews","₹8,799",12% off,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
33,"MOTOROLA g57 power 5G (Pantone Corsair, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/q/k/-original-imahhqjwz6fzmubx.jpeg?q=70,4.4,"19,181 Ratings & 1,038 Reviews","₹14,999",16% off,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 8MP Front Camera7000 mAh Battery6s Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
